,,,Gemeindesteuerfüsse 2010 / Gewogene Mittel,,,,,,"Altikon seit 2009 in der Region Winterthur u.U., nicht mehr im Weinland, gew. Mittel",,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
120 ,68 ,56,Rorbas,46,0,66,0,14,12,14,112,126,124,126,,,,,,121.7,125.30,,,,,
153 ,69 ,57,Wallisellen,55,0,42,0,9,12,14,97,106,109,111,,,,,,105.2,107.41,,,,,
156 ,70 ,58,Wasterkingen,44,0,75,0,14,13,14,119,133,132,133,,,,,,129.3,132.78,,,,,
163 ,71 ,59,Wil,37,0,75,0,14,13,14,112,126,125,126,,,,,,121.9,125.78,,,,,
166 ,72 ,60,Winkel,24,31,0,21,11,12,14,76,87,88,90,,,,,,83.3,87.39,,,,,
9 ,81 ,61,Bachs,58,44,0,20,14,13,14,122,136,135,136,,,,,,132.8,135.81,,,,,
18 ,82 ,62,Boppelsen,25,44,0,19,14,9,14,88,102,97,102,,,,,,96.5,100.30,,,,,
22 ,83 ,63,Buchs,41,50,0,25,9,9,14,116,125,125,130,,,,,,122.2,125.00,,,,,
26 ,84 ,64,Dällikon,85,0,0,25,11,9,14,110,121,119,124,,,,,,117.8,120.02,,,,,
27 ,85 ,65,Dänikon,47,46,0,19,11,9,14,112,123,121,126,,,,,,119.3,122.04,,,,,
29 ,86 ,66,Dielsdorf,44,41,0,23,11,13,14,108,119,121,122,,,,,,117.3,119.88,,,,,
72 ,87 ,67,Hüttikon,47,46,0,19,14,9,14,112,126,121,126,,,,,,120.8,123.35,,,,,
92 ,88 ,68,Neerach,21,32,0,20,10,13,14,73,83,86,87,,,,,,80.1,83.96,,,,,
94 ,89 ,69,Niederglatt,32,55,0,26,11,13,14,113,124,126,127,,,,,,121.5,124.82,,,,,
95 ,90 ,70,Niederhasli,96,0,0,26,11,13,14,122,133,135,136,,,,,,130.4,133.88,,,,,
96 ,91 ,71,Niederweningen,49,0,63,0,10,13,14,112,122,125,126,,,,,,120.5,123.17,,,,,
100 ,92 ,72,Oberglatt,60,39,0,23,12,13,14,122,134,135,136,,,,,,130.6,134.48,,,,,
103 ,93 ,73,Oberweningen,50,0,63,0,11,13,14,113,124,126,127,,,,,,121.7,124.72,,,,,
109 ,94 ,74,Otelfingen,88,0,0,19,14,9,14,107,121,116,121,,,,,,116.2,119.15,,,,,
114 ,95 ,75,Regensberg,40,41,0,23,14,13,14,104,118,117,118,,,,,,113.6,117.71,,,,,
115 ,96 ,76,Regensdorf,36,49,0,25,7,9,14,110,117,119,124,,,,,,116.0,118.04,,,,,
121 ,97 ,77,Rümlang,45,45,0,23,8,11,14,113,121,124,127,,,,,,119.7,122.35,,,,,
126 ,98 ,78,Schleinikon,59,0,63,0,10,13,14,122,132,135,136,,,,,,130.5,132.84,,,,,
128 ,99 ,79,Schöfflisdorf,49,0,63,0,11,13,14,112,123,125,126,,,,,,120.4,123.64,,,,,
133 ,100 ,80,Stadel,47,45,0,20,14,13,14,112,126,125,126,,,,,,121.2,125.78,,,,,
136 ,101 ,81,Steinmaur,45,46,0,23,10,13,14,114,124,127,128,,,,,,121.8,125.14,,,,,
157 ,102 ,82,Weiach,24,43,0,20,11,13,14,87,98,100,101,,,,,,95.5,98.48,,,,,
3 ,241 ,83,Aesch,31,38,0,16,11,9,14,85,96,94,99,,,,,,92.8,95.32,,,,,
16 ,242 ,84,Birmensdorf,54,40,0,16,11,9,14,110,121,119,124,,,,,,117.0,120.14,,,,,
30 ,243 ,85,Dietikon,122,0,0,0,12,13,14,122,134,135,136,,,,,,131.7,134.63,,,,,
50 ,244 ,86,Geroldswil,46,30,0,19,11,15,14,95,106,110,109,,,,,,104.2,108.00,,,,,
99 ,245 ,87,Oberengstringen,112,0,0,0,10,13,14,112,122,125,126,,,,,,120.2,123.59,,,,,
105 ,246 ,88,Oetwil a.d.L.,41,30,0,19,11,15,14,90,101,105,104,,,,,,98.4,102.84,,,,,
127 ,247 ,89,Schlieren,119,0,0,0,11,12,14,119,130,131,133,,,,,,128.0,130.63,,,,,
144 ,248 ,90,Uitikon,59,0,18,0,7,9,14,77,84,86,91,,,,,,81.5,84.78,,,,,
145 ,249 ,91,Unterengstringen,46,30,0,19,11,13,14,95,106,108,109,,,,,,103.6,106.90,,,,,
147 ,250 ,92,Urdorf,58,0,60,0,9,11,14,118,127,129,132,,,,,,125.8,127.98,,,,,
