,,,Gemeindesteuerfüsse 2007 / Gewogene Mittel,,,,,,Korrektur Steurfuss ref. Kirche Grüningen 24.5.2007 von 12 auf richtig 13 geändert,,,,,,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
19 ,213 ,152,Brütten,89,,,,13,12,14,89,102,101,103,,,,,,98.5,101.74,,,,,,,,,
25 ,214 ,153,Dägerlen,59,41,,23,14,13,14,123,137,136,137,,,,,,133.8,136.82,,,,,,,,,
28 ,215 ,154,Dättlikon,114,,,,14,13,14,114,128,127,128,,,,,,125.0,127.77,,,,,,,,,
32 ,216 ,155,Dinhard,91,,,22,14,13,14,113,127,126,127,,,,,,124.8,126.81,,,,,,,,,
38 ,217 ,156,Elgg,59,43,,21,14,16,14,123,137,139,137,,,,,,135.0,137.58,,,,,,,,,
39 ,218 ,157,Ellikon a.d.Th.,50,44,,22,14,13,14,116,130,129,130,,,,,,125.4,129.79,,,,,,,,,
40 ,219 ,158,Elsau,46,47,,25,14,13,14,118,132,131,132,,,,,,129.6,131.68,,,,,,,,,
55 ,220 ,159,Hagenbuch,92,,,21,14,16,14,113,127,129,127,,,,,,125.5,127.52,,,,,,,,,
60 ,221 ,160,Hettlingen,23,53,,21,10,13,14,97,107,110,111,,,,,,105.3,107.75,,,,,,,,,
65 ,222 ,161,Hofstetten,49,53,,21,14,16,14,123,137,139,137,,,,,,134.7,137.32,,,,,,,,,
93 ,223 ,162,Neftenbach,116,,,,14,13,14,116,130,129,130,,,,,,126.7,129.71,,,,,,,,,
112 ,224 ,163,Pfungen,115,,,,11,13,14,115,126,128,129,,,,,,124.7,126.66,,,,,,,,,
118 ,225 ,164,Rickenbach,39,52,,22,14,13,14,113,127,126,127,,,,,,124.1,126.68,,,,,,,,,
125 ,226 ,165,Schlatt,48,50,,25,14,14,14,123,137,137,137,,,,,,133.7,137.00,,,,,,,,,
132 ,227 ,166,Seuzach,79,,,21,10,13,14,100,110,113,114,,,,,,109.0,111.02,,,,,,,,,
142 ,228 ,167,Turbenthal,50,45,,28,14,14,14,123,137,137,137,,,,,,134.1,137.00,,,,,,,,,
162 ,229 ,168,Wiesendangen,26,,73,,10,13,14,99,109,112,113,,,,,,108.4,109.87,,,,,,,,,
167 ,230 ,169,Winterthur,123,,,,14,16,14,123,137,139,137,,,,,,134.3,137.82,,,,,,,,,
168 ,231 ,170,Zell,123,,,,14,14,14,123,137,137,137,,,,,,133.5,137.00,,,,,,,,,
171 ,261 ,171,Zürich,122,,,,10,11,14,122,132,133,136,,,,,,129.9,132.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ganzer Kanton,,,,,,,,,,,,,,,,112.5,121.1,,,,,,,,,,
,,,Kt. o. Stadt Zürich,,,,,,,,,,,,,,,,108.2,117.1,,,,,,,,,,
,,,Stadt Zürich,,,,,,,,,,,,,,,,122.0,129.9,,,,,,,,,,
,,,Stadt Winterthur,,,,,,,,,,,,,,,,123.0,134.3,,,,,,,,,,
,,,Uebrige Gemeinden,,,,,,,,,,,,,,,,106.3,115.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
