BFS,Regionen,Steuerfuss_oK,,
137 ,Oberrieden,101 ,,
138 ,Richterswil,118 ,,
139 ,Rüschlikon,90 ,,
140 ,Schönenberg,112 ,,
141 ,Thalwil,90 ,,
142 ,Wädenswil,112 ,,
151 ,Erlenbach,95 ,,
152 ,Herrliberg,90 ,,
153 ,Hombrechtikon,122 ,,
154 ,Küsnacht,90 ,,
155 ,Männedorf,106 ,,
156 ,Meilen,82 ,,
157 ,Oetwil a.S.,120 ,,
158 ,Stäfa,95 ,,
159 ,Uetikon a.S.,108 ,,
161 ,Zollikon,92 ,,
160 ,Zumikon,85 ,,
171 ,Bauma,115 ,,
172 ,Fehraltorf,112 ,,
173 ,Hittnau,120 ,,
174 ,Illnau-Effretikon,112 ,,
175 ,Kyburg,122 ,,
176 ,Lindau,105 ,,
177 ,Pfäffikon,122 ,,
178 ,Russikon,115 ,,
179 ,Sternenberg,122 ,,
180 ,Weisslingen,115 ,,
181 ,Wila,117 ,,
182 ,Wildberg,117 ,,
191 ,Dübendorf,96 ,,
192 ,Egg,108 ,,
193 ,Fällanden,96 ,,
194 ,Greifensee,122 ,,
195 ,Maur,88 ,,
196 ,Mönchaltorf,120 ,,
197 ,Schwerzenbach,96 ,,
198 ,Uster,112 ,,
199 ,Volketswil,105 ,,
200 ,Wangen-Brüttisellen,105 ,,
211 ,Altikon,117 ,,
212 ,Bertschikon,112 ,,
213 ,Brütten,107 ,,
214 ,Dägerlen,121 ,,
215 ,Dättlikon,112 ,,
216 ,Dinhard,112 ,,
217 ,Elgg,112 ,,
218 ,Ellikon a.d.Th.,116 ,,
219 ,Elsau,113 ,,
220 ,Hagenbuch,112 ,,
221 ,Hettlingen,108 ,,
222 ,Hofstetten,122 ,,
223 ,Neftenbach,112 ,,
224 ,Pfungen,113 ,,
225 ,Rickenbach,112 ,,
226 ,Schlatt,117 ,,
227 ,Seuzach,110 ,,
228 ,Turbenthal,118 ,,
229 ,Wiesendangen,121 ,,
230 ,Winterthur,121 ,,
231 ,Zell,113 ,,
261 ,Zürich,118 ,,
